Group	A	A	A	B	B	B
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Oscillospira	0.0466439135381	0.0177287973167	0.0108729419074	0.0473346604733	0.00931098696462	0.0164992826399
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	0.00796359499431	0.0201245807379	0.0288909599254	0.0347268303473	0.024208566108	0.043400286944
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Mogibacteriaceae]|g__	0.0	0.010062290369	0.0102516309413	0.0139349701393	0.00558659217877	0.0120157819225
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Mogibacteriaceae]|g__Mogibacterium	0.0	0.0	0.0	0.0	0.00248292985723	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae]|g__Parvimonas	0.00682593856655	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	0.00341296928328	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__OD1|c__|o__|f__|g__	0.0	0.0	0.0	0.0	0.0	0.000358680057389
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|__|__|__	0.0	0.0	0.000621310966139	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__|g__	0.0	0.0	0.000931966449208	0.0	0.00248292985723	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__mitochondria|g__	0.0	0.0	0.0	0.0	0.0	0.000717360114778
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter	0.0	0.0	0.0	0.00132714001327	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio	0.028441410694	0.00143747005271	0.0254737496117	0.033399690334	0.00962135319677	0.0114777618364
k__Bacteria|p__SR1|c__|o__|f__|g__	0.0386803185438	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Dethiosulfovibrionaceae|g__Pyramidobacter	0.0250284414107	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae|g__Anaeroplasma	0.00568828213879	0.0	0.00248524386455	0.0	0.0	0.00125538020086
