# Constructed from biom file
#OTU ID	A1	A2	A3	B1	B2	B3
179408	0.0	0.0	0.0	13.0	0.0	0.0
157054	8.0	0.0	0.0	0.0	0.0	0.0
185743	6.0	0.0	0.0	0.0	0.0	0.0
322282	0.0	0.0	28.0	0.0	0.0	25.0
197540	0.0	0.0	0.0	7.0	0.0	0.0
110924	0.0	0.0	11.0	8.0	14.0	9.0
343258	0.0	9.0	0.0	0.0	16.0	11.0
317869	0.0	19.0	11.0	52.0	0.0	8.0
4449891	0.0	0.0	0.0	0.0	6.0	0.0
293655	0.0	0.0	4.0	0.0	0.0	0.0
369354	0.0	0.0	0.0	12.0	0.0	0.0
579866	68.0	0.0	0.0	0.0	0.0	0.0
297202	0.0	0.0	0.0	0.0	0.0	4.0
592857	0.0	0.0	0.0	14.0	0.0	9.0
193678	8.0	0.0	0.0	0.0	0.0	0.0
298392	0.0	0.0	10.0	0.0	0.0	8.0
1142110	0.0	174.0	248.0	15.0	373.0	411.0
189611	43.0	0.0	0.0	0.0	0.0	0.0
303843	0.0	0.0	14.0	0.0	0.0	0.0
177677	0.0	0.0	0.0	0.0	14.0	26.0
318315	0.0	45.0	164.0	339.0	123.0	267.0
557381	3.0	0.0	0.0	0.0	0.0	0.0
290465	0.0	0.0	0.0	0.0	20.0	28.0
369555	0.0	0.0	0.0	0.0	0.0	6.0
158611	0.0	0.0	6.0	0.0	11.0	5.0
295070	0.0	29.0	20.0	17.0	17.0	12.0
590995	0.0	0.0	0.0	10.0	0.0	0.0
173715	26.0	0.0	0.0	0.0	0.0	0.0
4396292	0.0	0.0	0.0	12.0	6.0	0.0
326265	0.0	30.0	0.0	9.0	22.0	6.0
340473	0.0	0.0	8.0	0.0	14.0	0.0
1501336	0.0	13.0	0.0	0.0	45.0	10.0
109977	0.0	17.0	6.0	31.0	0.0	29.0
4315474	0.0	0.0	7.0	0.0	0.0	0.0
182008	0.0	0.0	31.0	23.0	18.0	43.0
4375017	0.0	4.0	0.0	0.0	7.0	0.0
288614	0.0	0.0	13.0	29.0	14.0	13.0
196428	0.0	0.0	0.0	0.0	0.0	8.0
338487	0.0	0.0	6.0	10.0	0.0	0.0
192563	0.0	0.0	0.0	0.0	16.0	23.0
1106384	0.0	0.0	12.0	0.0	18.0	17.0
263403	11.0	0.0	0.0	36.0	0.0	0.0
276663	0.0	0.0	0.0	7.0	0.0	0.0
173378	0.0	1.0	0.0	0.0	0.0	0.0
569584	5.0	0.0	0.0	0.0	0.0	0.0
288779	0.0	8.0	7.0	0.0	0.0	0.0
4338349	0.0	10.0	14.0	33.0	0.0	43.0
338111	0.0	3.0	0.0	0.0	0.0	0.0
4408503	0.0	0.0	0.0	9.0	0.0	7.0
335546	0.0	11.0	0.0	0.0	0.0	0.0
537886	0.0	0.0	0.0	0.0	0.0	52.0
617806	0.0	0.0	0.0	0.0	0.0	8.0
168625	0.0	0.0	0.0	18.0	10.0	19.0
328827	0.0	0.0	0.0	0.0	0.0	14.0
16000	12.0	0.0	0.0	5.0	0.0	0.0
310902	73.0	0.0	0.0	44.0	0.0	0.0
155932	0.0	0.0	0.0	0.0	3.0	0.0
4391161	3.0	0.0	0.0	0.0	0.0	0.0
309285	0.0	0.0	19.0	12.0	0.0	18.0
329271	0.0	23.0	10.0	27.0	0.0	14.0
542251	0.0	0.0	0.0	11.0	0.0	0.0
262716	0.0	14.0	0.0	0.0	0.0	0.0
287689	0.0	4.0	0.0	0.0	0.0	0.0
300626	0.0	0.0	0.0	9.0	0.0	17.0
320382	0.0	0.0	11.0	0.0	0.0	14.0
4360217	0.0	0.0	34.0	0.0	0.0	20.0
308857	0.0	0.0	0.0	10.0	0.0	0.0
573407	0.0	0.0	0.0	0.0	0.0	4.0
4463569	0.0	0.0	0.0	0.0	0.0	19.0
354957	19.0	0.0	0.0	0.0	0.0	0.0
294302	0.0	0.0	0.0	0.0	0.0	10.0
353748	0.0	44.0	41.0	44.0	0.0	61.0
306528	11.0	8.0	0.0	0.0	0.0	0.0
275423	12.0	0.0	0.0	0.0	0.0	0.0
326479	0.0	0.0	0.0	12.0	0.0	0.0
331417	0.0	0.0	0.0	7.0	0.0	0.0
268971	7.0	0.0	0.0	0.0	0.0	0.0
222733	0.0	0.0	0.0	45.0	0.0	19.0
340261	0.0	34.0	12.0	0.0	39.0	50.0
336043	0.0	0.0	0.0	31.0	0.0	0.0
349451	0.0	0.0	0.0	19.0	5.0	7.0
775976	0.0	0.0	0.0	0.0	0.0	5.0
334592	0.0	94.0	257.0	627.0	250.0	398.0
198839	0.0	0.0	0.0	13.0	0.0	0.0
276257	0.0	0.0	0.0	8.0	0.0	0.0
294360	0.0	45.0	31.0	45.0	35.0	112.0
609295	0.0	19.0	12.0	40.0	21.0	24.0
196951	0.0	0.0	0.0	10.0	5.0	4.0
295828	0.0	0.0	0.0	9.0	0.0	3.0
517040	0.0	0.0	0.0	0.0	8.0	14.0
341444	0.0	0.0	45.0	61.0	0.0	19.0
330532	0.0	14.0	9.0	53.0	10.0	25.0
334339	0.0	42.0	15.0	46.0	0.0	28.0
332780	0.0	0.0	0.0	0.0	0.0	12.0
4474215	0.0	103.0	50.0	19.0	161.0	96.0
4475437	0.0	0.0	2.0	0.0	0.0	0.0
3682570	0.0	0.0	0.0	11.0	0.0	0.0
302207	0.0	0.0	0.0	0.0	0.0	16.0
349053	0.0	0.0	0.0	0.0	0.0	10.0
626544	0.0	0.0	6.0	7.0	0.0	5.0
4381154	0.0	0.0	0.0	0.0	0.0	6.0
265932	0.0	0.0	0.0	0.0	0.0	4.0
